r,u,v,VE,proxy_score,beam,trans,branch,mode,expanded_states,generated_transitions,final_beam_size,certified_no_truncation
2,0x00026000,0x799e0800,-0.1875,1.58496250072115618147406,1000000,100000,16,aggregate,17,13616,832,1
2,0x00026000,0x89910700,-0.1875,1.58496250072115618147406,1000000,100000,16,aggregate,17,13616,832,1
2,0x00026000,0x89910800,-0.1875,1.58496250072115618147406,1000000,100000,16,aggregate,17,13616,832,1
2,0x00026000,0xc9950c00,-0.1875,1.58496250072115618147406,1000000,100000,16,aggregate,17,13616,832,1
2,0x00026000,0xf9960f00,-0.140625,1.16992500144231236294812,1000000,100000,16,aggregate,17,13616,832,1
2,0x00026000,0x19980800,-0.09375,0.584962500721156181474059,1000000,100000,16,aggregate,17,13616,832,1
2,0x00026000,0x299b0800,0.09375,0.584962500721156181474059,1000000,100000,16,aggregate,17,13616,832,1
2,0x00026000,0x299b0f00,0.09375,0.584962500721156181474059,1000000,100000,16,aggregate,17,13616,832,1
2,0x00026000,0x399a0c00,0.09375,0.584962500721156181474059,1000000,100000,16,aggregate,17,13616,832,1
2,0x00026000,0x599c0800,-0.09375,0.584962500721156181474059,1000000,100000,16,aggregate,17,13616,832,1
2,0x00026000,0x699f0800,-0.09375,0.584962500721156181474059,1000000,100000,16,aggregate,17,13616,832,1
2,0x00026000,0x699f0c00,-0.09375,0.584962500721156181474059,1000000,100000,16,aggregate,17,13616,832,1
2,0x00026000,0x89910100,-0.09375,0.584962500721156181474059,1000000,100000,16,aggregate,17,13616,832,1
2,0x00026000,0x89910200,0.09375,0.584962500721156181474059,1000000,100000,16,aggregate,17,13616,832,1
2,0x00026000,0x89910500,-0.09375,0.584962500721156181474059,1000000,100000,16,aggregate,17,13616,832,1
2,0x00026000,0x89910600,-0.09375,0.584962500721156181474059,1000000,100000,16,aggregate,17,13616,832,1
2,0x00026000,0x89910900,-0.09375,0.584962500721156181474059,1000000,100000,16,aggregate,17,13616,832,1
2,0x00026000,0x89910a00,-0.09375,0.584962500721156181474059,1000000,100000,16,aggregate,17,13616,832,1
2,0x00026000,0x89910d00,0.09375,0.584962500721156181474059,1000000,100000,16,aggregate,17,13616,832,1
2,0x00026000,0x89910e00,-0.09375,0.584962500721156181474059,1000000,100000,16,aggregate,17,13616,832,1
2,0x00026000,0x99900800,-0.09375,0.584962500721156181474059,1000000,100000,16,aggregate,17,13616,832,1
2,0x00026000,0xa9930800,-0.09375,0.584962500721156181474059,1000000,100000,16,aggregate,17,13616,832,1
2,0x00026000,0xa9930f00,-0.09375,0.584962500721156181474059,1000000,100000,16,aggregate,17,13616,832,1
2,0x00026000,0xb9920c00,0.09375,0.584962500721156181474059,1000000,100000,16,aggregate,17,13616,832,1
2,0x00026000,0xc9950300,0.09375,0.584962500721156181474059,1000000,100000,16,aggregate,17,13616,832,1
2,0x00026000,0xc9950600,-0.09375,0.584962500721156181474059,1000000,100000,16,aggregate,17,13616,832,1
2,0x00026000,0xc9950b00,0.09375,0.584962500721156181474059,1000000,100000,16,aggregate,17,13616,832,1
2,0x00026000,0xc9950e00,0.09375,0.584962500721156181474059,1000000,100000,16,aggregate,17,13616,832,1
2,0x00026000,0xd9940800,0.09375,0.584962500721156181474059,1000000,100000,16,aggregate,17,13616,832,1
2,0x00026000,0xe9970800,-0.09375,0.584962500721156181474059,1000000,100000,16,aggregate,17,13616,832,1
2,0x00026000,0xe9970c00,0.09375,0.584962500721156181474059,1000000,100000,16,aggregate,17,13616,832,1
2,0x00026000,0xf9960200,0.09375,0.584962500721156181474059,1000000,100000,16,aggregate,17,13616,832,1
2,0x00026000,0xf9960a00,-0.09375,0.584962500721156181474059,1000000,100000,16,aggregate,17,13616,832,1
2,0x00029000,0x76610800,-0.125,1,1000000,100000,16,aggregate,41,35240,1040,1
2,0x00029000,0x7ee90800,0.125,1,1000000,100000,16,aggregate,41,35240,1040,1
2,0x00029000,0x866e0700,-0.125,1,1000000,100000,16,aggregate,41,35240,1040,1
