row_id,r,u,v
342,3,0x2eedc978,0x90c7d6ed
13478,3,0x2e966348,0xfd5119cf
15212,3,0xc54f3a36,0xaf3f951d
10392,3,0x0bd9d1d8,0x9856ea1b
2174,3,0x82060859,0x0eeab60e
11745,3,0x2bca6eb1,0x4e0e7b8e
2312,3,0x82060859,0xe2c0a1fa
14683,3,0xb0d69ff5,0xdfcb7f41
4110,3,0x913d9990,0x9835d9e0
2147,3,0x82060859,0x3a6bf77e
7586,3,0x12ff5cf5,0x58c29755
9531,3,0xfe724f2c,0x1ae8104a
14041,3,0xb78c9ec2,0x0704b57e
14480,3,0x3411d207,0xaef29185
16028,3,0xce3862ac,0xb53c331f
6072,3,0xec30f723,0x3065fd71
11368,3,0x2bca6eb1,0xf9555e51
7479,3,0x12ff5cf5,0x399d7741
14477,3,0x3411d207,0x9af53563
9853,3,0x949830e1,0x8b85b794
7672,3,0x12bc19cf,0xb5052077
5200,3,0x143e3d80,0xa6bfd991
1962,3,0x82060859,0x2b4ea761
8107,3,0x12bc19cf,0x4360571c
6441,3,0x1a211300,0x96e41a2f
15092,3,0xc54f3a36,0x94b5959c
2631,3,0x2f34494c,0x9fb7d24d
5645,3,0xec30f723,0x4706b56a
13762,3,0x2e966348,0x357bb3a7
1458,3,0x52ac7659,0x964f18c5
4642,3,0x913d9990,0x7ef1d09c
4280,3,0x913d9990,0x93d44b0f
3808,3,0x0f752708,0xa7f5f20a
7050,3,0x12ff5cf5,0x1d56c873
9897,3,0x949830e1,0x8f68c2ac
9293,3,0xfe724f2c,0xf291c5dc
6707,3,0x1a211300,0x612a2e8b
13573,3,0x2e966348,0x57663a14
9681,3,0x949830e1,0x39a84970
10816,3,0xbc3dc164,0xca9cbdad
13347,3,0xbe8ab838,0x90590fc7
955,3,0x52ac7659,0x8c961403
9425,3,0xfe724f2c,0x44822045
11169,3,0xbc3dc164,0x0e08af14
11258,3,0xbc3dc164,0x101415c8
3365,3,0x0f752708,0x4f74d2c5
